Country,Year,Arrivals
Romania,2017,2691
Serbia,2017,605
Slovakia,2017,3735
Slovenia,2017,1312
Spain,2017,15252
Sweden,2017,15516
Switzerland,2017,40252
Turkey,2017,2594
United Kingdom,2017,149807
Belarus,2017,480
Kazakhstan,2017,402
Russia,2017,11153
Ukraine,2017,2854
Comoros,2017,886
Madagascar,2017,12730
Seychelles,2017,6258
Algeria,2017,404
Angola,2017,549
Benin,2017,108
Botswana,2017,1072
Burundi,2017,108
Cameroon,2017,371
Congo,2017,703
Egypt,2017,728
Ethiopia,2017,392
Gabon,2017,149
Ghana,2017,897
Ivory coast,2017,496
Kenya,2017,3422
Lesotho,2017,236
Malawi,2017,363
Mayotte,2017,1340
Morocco,2017,771
Mozambique,2017,876
Namibia,2017,1505
Niger,2017,159
Nigeria,2017,1331
Rwanda,2017,221
Senegal,2017,298
South Africa,2017,112129
Sudan,2017,175
Tanzania,2017,697
Togo,2017,84
Tunisia,2017,577
Uganda,2017,555
Zimbabwe,2017,2553
Zambia,2017,994
Afghanistan,2017,764
Bangladesh,2017,1157
Hong Kong,2017,1512
India,2017,86294
Indonesia,2017,2670
Israel,2017,1698
Japan,2017,2315
Korea,2017,6858
Malaysia,2017,4352
Maldives,2017,58
Nepal,2017,374
Pakistan,2017,1088
China,2017,72951
Philippines,2017,2742
Singapore,2017,3230
Sri Lanka,2017,517
Taiwan,2017,1592
Thailand,2017,682
Vietnam,2017,707
Bahrain,2017,171
Iran,2017,607
Jordan,2017,184
Kuwait,2017,548
Lebanon,2017,447
Oman,2017,207
Qatar,2017,237
Saudi Arabia,2017,5142
United Arab Emirates,2017,11866
Australia,2017,21271
New Zealand,2017,1052
Brazil,2017,4659
Canada,2017,6908
USA,2017,9655
Austria,2018,18572
Belgium,2018,15727
Bulgaria,2018,1913
Czech Republic,2018,14254
Croatia,2018,823
Denmark,2018,7418
Estonia,2018,1049
Finland,2018,4949
France,2018,285371
Germany,2018,132780
Greece,2018,937
Hungary,2018,3277
Ireland,2018,4004
Italy,2018,38361
Latvia,2018,800
Lithuania,2018,829
Luxembourg,2018,1924
Netherlands,2018,16419
Norway,2018,5332
Poland,2018,10806
Portugal,2018,4912
Romania,2018,4368
Serbia,2018,656
Slovakia,2018,4237
Slovenia,2018,1741
Spain,2018,15063
Sweden,2018,15539
